DSI,Relation,Dis,Source,Effectiveness Rating,Source_Description
DSI002469,is_effective_for,DIS000013,MSKCC,,
DSI002469,is_effective_for,DIS000058,MSKCC,,
DSI002469,is_effective_for,DIS000059,MSKCC,,
DSI001458,is_effective_for,DIS000038,MSKCC,,
DSI001458,is_effective_for,DIS000060,MSKCC,,
DSI001458,is_effective_for,DIS000018,MSKCC,,
DSI001458,is_effective_for,DIS000061,MSKCC,,
DSI001458,is_effective_for,DIS000062,MSKCC,,
DSI005147,is_effective_for,DIS000063,MSKCC,,
DSI005147,is_effective_for,DIS000041,MSKCC,,
DSI005147,is_effective_for,DIS000004,MSKCC,,
DSI007818,is_effective_for,DIS000006,MSKCC,,
DSI000071,is_effective_for,DIS000006,MSKCC,,
DSI000071,is_effective_for,DIS000024,MSKCC,,
DSI000071,is_effective_for,DIS000033,MSKCC,,
DSI000071,is_effective_for,DIS000064,MSKCC,,
DSI007819,is_effective_for,DIS000006,MSKCC,,
DSI001900,is_effective_for,DIS000018,MSKCC,,
DSI007820,is_effective_for,DIS000006,MSKCC,,
DSI007820,is_effective_for,DIS000023,MSKCC,,
DSI007820,is_effective_for,DIS000031,MSKCC,,
DSI007821,is_effective_for,DIS000065,MSKCC,,
DSI007821,is_effective_for,DIS000006,MSKCC,,
DSI007821,is_effective_for,DIS000066,MSKCC,,
DSI007821,is_effective_for,DIS000012,MSKCC,,
DSI007821,is_effective_for,DIS000067,MSKCC,,
DSI007821,is_effective_for,DIS000068,MSKCC,,
DSI007821,is_effective_for,DIS000069,MSKCC,,
DSI007821,is_effective_for,DIS000070,MSKCC,,
DSI007821,is_effective_for,DIS000024,MSKCC,,
DSI007821,is_effective_for,DIS000046,MSKCC,,
DSI007821,is_effective_for,DIS000071,MSKCC,,
DSI007821,is_effective_for,DIS000054,MSKCC,,
DSI001977,is_effective_for,DIS000072,MSKCC,,
DSI001977,is_effective_for,DIS000073,MSKCC,,
DSI001977,is_effective_for,DIS000074,MSKCC,,
DSI001977,is_effective_for,DIS000068,MSKCC,,
DSI001977,is_effective_for,DIS000046,MSKCC,,
DSI001977,is_effective_for,DIS000075,MSKCC,,
DSI001977,is_effective_for,DIS000076,MSKCC,,
DSI000389,is_effective_for,DIS000031,MSKCC,,
DSI000389,is_effective_for,DIS000077,MSKCC,,
DSI000389,is_effective_for,DIS000078,MSKCC,,
DSI000389,is_effective_for,DIS000058,MSKCC,,
DSI001859,is_effective_for,DIS000033,MSKCC,,
DSI001859,is_effective_for,DIS000047,MSKCC,,
DSI001859,is_effective_for,DIS000079,MSKCC,,
DSI001859,is_effective_for,DIS000080,MSKCC,,
DSI001859,is_effective_for,DIS000081,MSKCC,,
DSI002549,is_effective_for,DIS000006,MSKCC,,
DSI000961,is_effective_for,DIS000031,MSKCC,,
DSI000961,is_effective_for,DIS000006,MSKCC,,
DSI000961,is_effective_for,DIS000019,MSKCC,,
DSI000961,is_effective_for,DIS000015,MSKCC,,
DSI005450,is_effective_for,DIS000012,MSKCC,,
DSI007822,is_effective_for,DIS000006,MSKCC,,
DSI007823,is_effective_for,DIS000006,MSKCC,,
DSI007824,is_effective_for,DIS000006,MSKCC,,
DSI004703,is_effective_for,DIS000018,MSKCC,,
DSI004236,is_effective_for,DIS000000,MSKCC,,
DSI004236,is_effective_for,DIS000001,MSKCC,,
DSI004236,is_effective_for,DIS000040,MSKCC,,
DSI004236,is_effective_for,DIS000015,MSKCC,,
DSI005487,is_effective_for,DIS000031,MSKCC,,
DSI005487,is_effective_for,DIS000082,MSKCC,,
DSI005487,is_effective_for,DIS000006,MSKCC,,
DSI005487,is_effective_for,DIS000083,MSKCC,,
