ingredient_id,ingredient,condition_id,condition,canonical_condition_id,canonical_condition,relationship,evidence,dose,pmids,source,source_url
probiotics,Probiotics,travelers-diarrhea,Travelers Diarrhea,travelers-diarrhea,Travelers Diarrhea,therapeutic-dose,,250-500 mg S. boulardii,17298915,evidence-engine.clinical_doses,
probiotics,Probiotics,vaginal-health,Vaginal Health,vaginal-health,Vaginal Health,therapeutic-dose,,2-5 billion CFU,14651462,evidence-engine.clinical_doses,
probiotics,Probiotics,vaginal-health,Vaginal Health,vaginal-health,Vaginal Health,reviewed-on-site,,,14651462,site-page,/probiotics/best-for-vaginal-health/
protein,Protein,glp1,Glp1,glp1,Glp1,reviewed-on-site,,,35441470; 28642676; 28698222; 22150425; 35658024,site-page,/protein/best-for-glp1/
protein,Protein,weight-loss,Weight Loss,weight-loss,Weight Loss,reviewed-on-site,,,28698222; 28642676; 25926512; 23107545,site-page,/protein/best-for-weight-loss/
same,SAMe,anxiety-depression,Anxiety Depression,anxiety-depression,Anxiety Depression,reviewed-on-site,,,28654669; 23439798; 22364157; 28445426; 33864354; 11794633; 22293292; 31517876,condition-protocol,/conditions/anxiety-depression/
same,SAMe,depression,Depression,depression,Depression,reviewed-on-site,,,38199136; 16021987,site-page,/same/for-depression/
selenium,Selenium,thyroid,Thyroid,thyroid,Thyroid,reviewed-on-site,,,38243784; 23744563,site-page,/selenium/for-thyroid/
tongkat-ali,Tongkat Ali,stress-cortisol,Stress Cortisol,stress,Stress,therapeutic-dose,,200-200 mg standardized extract,23705671,evidence-engine.clinical_doses,
tongkat-ali,Tongkat Ali,testosterone,Testosterone,testosterone,Testosterone,therapeutic-dose,,200-400 mg standardized extract,36013514,evidence-engine.clinical_doses,
tongkat-ali,Tongkat Ali,testosterone,Testosterone,testosterone,Testosterone,reviewed-on-site,,,36013514; 33541567; 28259255; 23705671,site-page,/tongkat-ali/for-testosterone/
vitamin-b12,Vitamin B12,afternoon-energy-crash,Afternoon Energy Crash,fatigue,Fatigue & Low Energy,deficiency-symptom,moderate,,,matrix.deficiency_symptoms,/symptoms/afternoon-crash/
vitamin-b12,Vitamin B12,always-tired,Always Tired,fatigue,Fatigue & Low Energy,deficiency-symptom,strong,,33973003,matrix.deficiency_symptoms,/symptoms/always-tired/
vitamin-b12,Vitamin B12,brain-fog,Brain Fog,brain-fog,Brain Fog,deficiency-symptom,strong,,33973003,matrix.deficiency_symptoms,/symptoms/brain-fog/
vitamin-b12,Vitamin B12,deficiency,Deficiency,deficiency,Deficiency,therapeutic-dose,,1000-2000 mcg,,evidence-engine.clinical_doses,
vitamin-b12,Vitamin B12,energy-fatigue,Energy Fatigue,fatigue,Fatigue & Low Energy,reviewed-on-site,,,28925645; 38034222,site-page,/b12/for-energy-fatigue/
vitamin-b12,Vitamin B12,fatigue,Fatigue,fatigue,Fatigue & Low Energy,reviewed-on-site,,,22777991; 25282031; 28925645,condition-protocol,/conditions/fatigue/
vitamin-b12,Vitamin B12,feeling-depressed,Feeling Depressed,depression,Depression,deficiency-symptom,moderate,,23538074,matrix.deficiency_symptoms,/symptoms/feeling-depressed/
vitamin-b12,Vitamin B12,pcos,Pcos,pcos,Pcos,reviewed-on-site,,,,condition-protocol,/conditions/pcos/
vitamin-b12,Vitamin B12,tingling-hands-feet,Tingling Hands & Feet,tingling-hands-feet,Tingling Hands & Feet,deficiency-symptom,strong,,,matrix.deficiency_symptoms,/symptoms/tingling-hands-feet/
vitamin-b12,Vitamin B12,vegans-vegetarians,Vegans Vegetarians,vegans-vegetarians,Vegans Vegetarians,reviewed-on-site,,,38794680; 28925645,site-page,/b12/for-vegans-vegetarians/
vitamin-b6,Vitamin B6,anxiety,Anxiety,anxiety,Anxiety,deficiency-symptom,moderate,,,matrix.deficiency_symptoms,/symptoms/anxiety-natural-relief/
vitamin-b6,Vitamin B6,feeling-depressed,Feeling Depressed,depression,Depression,deficiency-symptom,moderate,,,matrix.deficiency_symptoms,/symptoms/feeling-depressed/
vitamin-c,Vitamin C,immune-support,Immune Support,immune-support,Immune Support,reviewed-on-site,,,28202713; 28515951; 27378206; 23440782; 25927096,condition-protocol,/conditions/immune-support/
vitamin-c,Vitamin C,immune-system,Immune System,immune-support,Immune Support,reviewed-on-site,,,23440782; 29099763; 8623000,site-page,/vitamin-c/for-immune-system/
vitamin-d,Vitamin D,always-tired,Always Tired,fatigue,Fatigue & Low Energy,deficiency-symptom,moderate,,,matrix.deficiency_symptoms,/symptoms/always-tired/
vitamin-d,Vitamin D,anxiety-depression,Anxiety Depression,anxiety-depression,Anxiety Depression,reviewed-on-site,,,28654669; 23439798; 22364157; 28445426; 33864354; 11794633; 22293292; 31517876,condition-protocol,/conditions/anxiety-depression/
vitamin-d,Vitamin D,brain-fog,Brain Fog,brain-fog,Brain Fog,deficiency-symptom,moderate,,25098535,matrix.deficiency_symptoms,/symptoms/brain-fog/
vitamin-d,Vitamin D,deficiency-correction,Deficiency Correction,deficiency-correction,Deficiency Correction,therapeutic-dose,,2000-5000 IU,,evidence-engine.clinical_doses,
vitamin-d,Vitamin D,depression,Depression,depression,Depression,reviewed-on-site,,,41758559; 28654669,site-page,/vitamin-d/best-for-depression/
vitamin-d,Vitamin D,fatigue,Fatigue,fatigue,Fatigue & Low Energy,reviewed-on-site,,,22777991; 25282031; 28925645,condition-protocol,/conditions/fatigue/
vitamin-d,Vitamin D,feeling-depressed,Feeling Depressed,depression,Depression,deficiency-symptom,strong,,23377209,matrix.deficiency_symptoms,/symptoms/feeling-depressed/
vitamin-d,Vitamin D,hair-falling-out,Hair Falling Out,hair-health,Hair Health,deficiency-symptom,moderate,,,matrix.deficiency_symptoms,/symptoms/hair-falling-out/
vitamin-d,Vitamin D,immune-support,Immune Support,immune-support,Immune Support,reviewed-on-site,,,28202713; 28515951; 27378206; 23440782; 25927096,condition-protocol,/conditions/immune-support/
vitamin-d,Vitamin D,immunity,Immunity,immune-support,Immune Support,therapeutic-dose,,1000-4000 IU,,evidence-engine.clinical_doses,
vitamin-d,Vitamin D,immunity,Immunity,immune-support,Immune Support,reviewed-on-site,,,40969681; 41387808; 35281034; 41830039,site-page,/vitamin-d/best-for-immunity/
vitamin-d,Vitamin D,pcos,Pcos,pcos,Pcos,reviewed-on-site,,,,condition-protocol,/conditions/pcos/
zinc,Zinc,feeling-depressed,Feeling Depressed,depression,Depression,deficiency-symptom,moderate,,23137545,matrix.deficiency_symptoms,/symptoms/feeling-depressed/
zinc,Zinc,hair-falling-out,Hair Falling Out,hair-health,Hair Health,deficiency-symptom,moderate,,,matrix.deficiency_symptoms,/symptoms/hair-falling-out/
zinc,Zinc,immune-cold,Immune Cold,immune-support,Immune Support,reviewed-on-site,,,29186856; 27378206; 9361579,site-page,/zinc/for-immune-cold/
zinc,Zinc,immune-support,Immune Support,immune-support,Immune Support,reviewed-on-site,,,28202713; 28515951; 27378206; 23440782; 25927096,condition-protocol,/conditions/immune-support/
